Delon Wright\wrighde01;2018-19;26;TOT;75,0;4,3;13,0;22,7;3,2;7,4;2,6;5,2;0,7;2,2;1,6;2,0;3,5;3,3;1,2;0,4;1,0;1,4;8,7;0;0;0;0;0
Andre Iguodala\iguodan01;2018-19;35;GSW;68,0;4,2;13,0;23,2;2,2;4,4;1,5;2,3;0,7;2,1;0,6;1,0;3,7;3,2;0,9;0,8;0,8;1,4;5,7;0;0;0;0;0
D?vis Bert?ns\bertada01;2018-19;26;SAS;76,0;4,0;12,0;21,5;2,7;6,0;0,8;1,5;1,9;4,4;0,7;0,8;3,5;1,3;0,5;0,4;0,6;1,8;8,0;0;0;0;0;0
Kentavious Caldwell-Pope\caldwke01;2018-19;25;LAL;82,0;4,0;23,0;24,8;4,0;9,2;2,1;3,9;1,8;5,3;1,7;1,9;2,9;1,3;0,9;0,2;0,8;1,7;11,4;0;0;0;0;0
Dewayne Dedmon\dedmode01;2018-19;29;ATL;64,0;4,0;52,0;25,1;4,0;8,2;2,8;4,8;1,3;3,4;1,4;1,8;7,5;1,4;1,1;1,1;1,3;3,3;10,8;0;0;0;0;0
Jonathan Isaac\isaacjo01;2018-19;21;ORL;75,0;4,0;64,0;26,6;3,5;8,1;2,3;4,6;1,1;3,5;1,5;1,8;5,5;1,1;0,8;1,3;1,0;1,9;9,6;0;0;0;0;0
Pat Connaughton\connapa01;2018-19;26;MIL;61,0;3,9;2,0;20,7;2,7;5,7;1,6;2,5;1,1;3,3;0,5;0,7;4,2;2,0;0,5;0,4;0,5;1,3;6,9;0;0;0;0;0
Bryn Forbes\forbebr01;2018-19;25;SAS;82,0;3,8;81,0;28,0;4,4;9,6;2,3;4,6;2,1;5,0;0,8;1,0;2,9;2,1;0,5;0,0;1,0;1,9;11,8;0;0;0;0;0
Marvin Williams\willima02;2018-19;32;CHO;75,0;3,8;75,0;28,4;3,7;8,7;1,8;3,6;1,9;5,1;0,9;1,1;5,4;1,2;0,9;0,8;0,6;2,1;10,1;0;0;0;0;0
Ryan Arcidiacono\arcidry01;2018-19;24;CHI;81,0;3,7;32,0;24,2;2,3;5,2;1,3;2,5;1,0;2,7;1,1;1,3;2,7;3,3;0,8;0,0;0,8;2,1;6,7;0;0;0;0;0
